text,business_line,sentiment,section,processed,paragraph_id,paragraph,segment
"Actual results could materially differ because of factors discussed in today's earnings press 
release, in the comments made during this conference call, and in the Risk Factors section of 
our Form 10-K, Form 10-Q, and other reports and filings with the Securities and Exchange 
Commission.",Office Commercial,negative,main,True,24,"Actual results could materially differ because of factors discussed in today's earnings press 
relea...",Productivity and Business Processes
We do not undertake any duty to update any forward-looking statement.,Office Commercial,neutral,main,True,25,We do not undertake any duty to update any forward-looking statement.,Productivity and Business Processes
"And with 
that, I'll turn the call over to Satya.",Office Commercial,neutral,main,True,26,"And with 
that, I'll turn the call over to Satya.",Productivity and Business Processes
"Satya Nadella -- Chair and Chief Executive Officer 
Thank you, Brett.",Office Commercial,neutral,main,True,27,"Satya Nadella -- Chair and Chief Executive Officer 
Thank you, Brett.",Productivity and Business Processes
"This quarter, we saw continued strength in Microsoft Cloud, which surpassed 
$40 billion in revenue for the first time, up 21% year over year.",Office Commercial,positive,main,True,28,"This quarter, we saw continued strength in Microsoft Cloud, which surpassed 
$40 billion in revenue ...",Productivity and Business Processes
"Enterprises are beginning to 
move from proof of concepts to enterprisewide deployments to unlock the full ROI of AI.",Office Commercial,positive,main,True,29,"Enterprises are beginning to 
move from proof of concepts to enterprisewide deployments to unlock th...",Productivity and Business Processes
"And our 
AI business has now surpassed an annual revenue run rate of $13 billion, up 175% year over 
year.",Office Commercial,positive,main,True,30,"And our 
AI business has now surpassed an annual revenue run rate of $13 billion, up 175% year over ...",Productivity and Business Processes
"Before I get into the details of the quarter, I want to comment on the core thesis behind our 
approach to how we manage our fleet and how we allocate our capital to compute.",Office Commercial,neutral,main,True,31,"Before I get into the details of the quarter, I want to comment on the core thesis behind our 
appro...",Productivity and Business Processes
"AI scaling 
laws continue to compound across both pre-training and inference time compute.",Office Commercial,neutral,main,True,32,"AI scaling 
laws continue to compound across both pre-training and inference time compute.",Productivity and Business Processes
"We ourselves 
have been seeing significant efficiency gains in both training and inference for years now.",Office Commercial,positive,main,True,33,"We ourselves 
have been seeing significant efficiency gains in both training and inference for years...",Productivity and Business Processes
"On 
inference, we have typically seen more than 2x price performance gain for every hardware 
generation and more than 10x for every model generation due to software optimizations.",Office Commercial,positive,main,True,34,"On 
inference, we have typically seen more than 2x price performance gain for every hardware 
genera...",Productivity and Business Processes
"And as AI becomes more efficient and accessible, we will see exponentially more demand.",Office Commercial,positive,main,True,35,"And as AI becomes more efficient and accessible, we will see exponentially more demand.",Productivity and Business Processes
"Therefore, much as we have done with the commercial cloud, we are focused on continuously 
scaling our fleet globally and maintaining the right balance across training and inference as well 
as geo-distribution.",Office Commercial,positive,main,True,36,"Therefore, much as we have done with the commercial cloud, we are focused on continuously 
scaling o...",Productivity and Business Processes
"From now on, it's a more continuous cycle governed by both revenue growth 
and capability growth thanks to the compounding effects of software-driven AI scaling laws and 
Moore's Law.",Office Commercial,positive,main,True,37,"From now on, it's a more continuous cycle governed by both revenue growth 
and capability growth tha...",Productivity and Business Processes
"With that, I will walk through the progress we are making across every layer of the 
tech stack.",Office Commercial,neutral,main,True,38,"With that, I will walk through the progress we are making across every layer of the 
tech stack.",Productivity and Business Processes
Azure is the infrastructure layer for AI.,Server products and cloud services,neutral,main,True,39,Azure is the infrastructure layer for AI.,Intelligent Cloud
"We continue to expand our data center capacity in line 
with both near-term and long-term demand signals.",Server products and cloud services,neutral,main,True,40,"We continue to expand our data center capacity in line 
with both near-term and long-term demand sig...",Intelligent Cloud
"We have more than doubled our overall 
data center capacity in the last three years, and we have added more capacity last year than 
any other year in our history.",Server products and cloud services,positive,main,True,41,"We have more than doubled our overall 
data center capacity in the last three years, and we have add...",Intelligent Cloud
"Our data centers, networks, racks, and silicon are all coming 
together as a complete system to drive new efficiencies to power both the cloud workloads of 
today and the next-generation AI workloads.",Server products and cloud services,positive,main,True,42,"Our data centers, networks, racks, and silicon are all coming 
together as a complete system to driv...",Intelligent Cloud
"We continue to take advantage of Moore's Law and refresh our fleet as evidenced by our 
support of the latest from AMD, Intel, NVIDIA, as well as our first-party silicon innovation from 
Maia, Cobalt, Boost, and HSM.",Server products and cloud services,positive,main,True,43,"We continue to take advantage of Moore's Law and refresh our fleet as evidenced by our 
support of t...",Intelligent Cloud
"When it comes to cloud migrations, we continue to see 
customers like UBS move workloads to Azure.",Server products and cloud services,neutral,main,True,44,"When it comes to cloud migrations, we continue to see 
customers like UBS move workloads to Azure.",Intelligent Cloud
"UBS alone migrated mainframe workloads 
encompassing nearly 400 billion records and two petabytes of data.",Server products and cloud services,neutral,main,True,45,"UBS alone migrated mainframe workloads 
encompassing nearly 400 billion records and two petabytes of...",Intelligent Cloud
"And we remain the cloud of 
choice for customers' mission-critical Oracle, SAP, and VMware apps.",Server products and cloud services,positive,main,True,46,"And we remain the cloud of 
choice for customers' mission-critical Oracle, SAP, and VMware apps.",Intelligent Cloud
"At the data layer, we are seeing Microsoft Fabric break out.",Server products and cloud services,neutral,main,True,47,"At the data layer, we are seeing Microsoft Fabric break out.",Intelligent Cloud
"We now have over 19,000 paid 
customers from Hitachi to Johnson Controls to Schaeffler.",Server products and cloud services,positive,main,True,48,"We now have over 19,000 paid 
customers from Hitachi to Johnson Controls to Schaeffler.",Intelligent Cloud
"Fabric is now the fastest-growing 
analytics product in our history.",Server products and cloud services,positive,main,True,49,"Fabric is now the fastest-growing 
analytics product in our history.",Intelligent Cloud
"Power BI is also deeply integrated with Fabric with over 30 
million monthly active users, up 40% since last year.",Server products and cloud services,positive,main,True,50,"Power BI is also deeply integrated with Fabric with over 30 
million monthly active users, up 40% si...",Intelligent Cloud
"Beyond Fabric, we are seeing new AI-driven data patterns emerge.",Server products and cloud services,neutral,main,True,51,"Beyond Fabric, we are seeing new AI-driven data patterns emerge.",Intelligent Cloud
"If you look underneath 
ChatGPT or Copilot or enterprise AI apps, you see the growth of raw storage, database 
services, and app platform services as these workloads scale.",Gaming,neutral,main,True,52,"If you look underneath 
ChatGPT or Copilot or enterprise AI apps, you see the growth of raw storage,...",More Personal Computing
"The number of Azure OpenAI 
apps running on Azure databases and Azure App Services more than doubled year over year, 
driving significant growth in adoption across SQL, hyperscale, and Cosmos DB.",Gaming,positive,main,True,53,"The number of Azure OpenAI 
apps running on Azure databases and Azure App Services more than doubled...",More Personal Computing
"Now, on to AI 
platform and tools.",Gaming,neutral,main,True,54,"Now, on to AI 
platform and tools.",More Personal Computing
"As we shared last week, we are thrilled OpenAI has made a new large Azure commitment.",Server products and cloud services,positive,main,True,55,"As we shared last week, we are thrilled OpenAI has made a new large Azure commitment.",Intelligent Cloud
"Through our strategic partnership, we continue to benefit mutually from each other's growth.",Server products and cloud services,positive,main,True,56,"Through our strategic partnership, we continue to benefit mutually from each other's growth.",Intelligent Cloud
"And with OpenAI's APIs exclusively running on Azure, customers can count on us to get access 
to the world's leading models.",Server products and cloud services,positive,main,True,57,"And with OpenAI's APIs exclusively running on Azure, customers can count on us to get access 
to the...",Intelligent Cloud
"And OpenAI has a lot more coming soon, so stay tuned.",Server products and cloud services,neutral,main,True,58,"And OpenAI has a lot more coming soon, so stay tuned.",Intelligent Cloud
"Azure AI Foundry features best-in-class tooling run times to build agents, multi-agent apps, 
AIOps, API access to thousands of models.",Server products and cloud services,positive,main,True,59,"Azure AI Foundry features best-in-class tooling run times to build agents, multi-agent apps, 
AIOps,...",Intelligent Cloud
"Two months in, we already have more than 200,000 
monthly active users, and we are well positioned with our support of both OpenAI's leading 
models and the best selection of open-source models and SLMs.",Server products and cloud services,positive,main,True,60,"Two months in, we already have more than 200,000 
monthly active users, and we are well positioned w...",Intelligent Cloud
"DeepSeek's R1 launched 
today via the model catalog on Foundry and GitHub with automated red teaming, content safety 
integration, and security scanning.",Server products and cloud services,neutral,main,True,61,"DeepSeek's R1 launched 
today via the model catalog on Foundry and GitHub with automated red teaming...",Intelligent Cloud
"Our Phi family of SLMs has now been downloaded over 20 
million times.",Server products and cloud services,positive,main,True,62,"Our Phi family of SLMs has now been downloaded over 20 
million times.",Intelligent Cloud
"And we also have more than 30 models from partners like Bayer, PAYG AI, Rockwell 
Automation, Siemens to address industry-specific use cases.",Server products and cloud services,neutral,main,True,63,"And we also have more than 30 models from partners like Bayer, PAYG AI, Rockwell 
Automation, Siemen...",Intelligent Cloud
"With AI, how we build, deploy, and 
maintain code is fundamentally changing, and GitHub Copilot is increasingly the tool of choice 
for both digital natives like ASOS and Spotify as well as world's largest enterprises like HP, 
HSBC, and KPMG.",Server products and cloud services,positive,main,True,64,"With AI, how we build, deploy, and 
maintain code is fundamentally changing, and GitHub Copilot is i...",Intelligent Cloud
"We have been delighted by the early response to GitHub Copilot and VS 
Code with more than 1 million sign-ups in just the first week post launch.",Server products and cloud services,positive,main,True,65,"We have been delighted by the early response to GitHub Copilot and VS 
Code with more than 1 million...",Intelligent Cloud
"All up, GitHub now is 
home to 150 million developers, up 50% over the past two years.",Server products and cloud services,positive,main,True,66,"All up, GitHub now is 
home to 150 million developers, up 50% over the past two years.",Intelligent Cloud
"Now, on to the future of work.",Server products and cloud services,neutral,main,True,67,"Now, on to the future of work.",Intelligent Cloud
Microsoft 365 Copilot is the UI for AI.,Server products and cloud services,neutral,main,True,68,Microsoft 365 Copilot is the UI for AI.,Intelligent Cloud
"It helps supercharge 
employee productivity and provides access to a swarm of intelligent agents to streamline 
employee workflow.",Server products and cloud services,positive,main,True,69,"It helps supercharge 
employee productivity and provides access to a swarm of intelligent agents to ...",Intelligent Cloud
"We are seeing accelerated customer adoption across all deal sizes as we 
win new Microsoft 365 Copilot customers and see the majority of existing enterprise customers 
come back to purchase more seats.",Server products and cloud services,positive,main,True,70,"We are seeing accelerated customer adoption across all deal sizes as we 
win new Microsoft 365 Copil...",Intelligent Cloud
"When you look at customers who purchased Copilot during the first quarter of availability, they 
have expanded their seat collectively by more than 10x over the past 18 months.",Server products and cloud services,positive,main,True,71,"When you look at customers who purchased Copilot during the first quarter of availability, they 
hav...",Intelligent Cloud
"To share just 
one example, Novartis has added thousands of seats each quarter over the past year and now 
have 40,000 seats.",Server products and cloud services,positive,main,True,72,"To share just 
one example, Novartis has added thousands of seats each quarter over the past year an...",Intelligent Cloud
"Barclays, Carrier Group, Pearson, and University of Miami all purchased 
10,000 or more seats this quarter.",Server products and cloud services,positive,main,True,73,"Barclays, Carrier Group, Pearson, and University of Miami all purchased 
10,000 or more seats this q...",Intelligent Cloud
"And overall, the number of people who use Copilot daily, 
again, more than doubled quarter over quarter.",Server products and cloud services,positive,main,True,74,"And overall, the number of people who use Copilot daily, 
again, more than doubled quarter over quar...",Intelligent Cloud
Employees are also engaging with Copilot more than ever.,Server products and cloud services,neutral,main,True,75,Employees are also engaging with Copilot more than ever.,Intelligent Cloud
"Usage intensity increased more than 
60% quarter over quarter, and we are expanding our TAM with Copilot Chat, which was 
announced earlier this month.",Server products and cloud services,positive,main,True,76,"Usage intensity increased more than 
60% quarter over quarter, and we are expanding our TAM with Cop...",Intelligent Cloud
"Copilot Chat, along with Copilot Studio, is now available to every 
employee to start using agents right in the flow of work.",Server products and cloud services,neutral,main,True,77,"Copilot Chat, along with Copilot Studio, is now available to every 
employee to start using agents r...",Intelligent Cloud
"With Copilot Studio, we are making it as 
simple to build an agent as it is to create an Excel spreadsheet.",Server products and cloud services,neutral,main,True,78,"With Copilot Studio, we are making it as 
simple to build an agent as it is to create an Excel sprea...",Intelligent Cloud
"More than 160,000 organizations have already used for Copilot Studio, and they collectively 
created more than 400,000 custom agents in the last three months alone, up over 2x quarter 
over quarter.",Server products and cloud services,positive,main,True,79,"More than 160,000 organizations have already used for Copilot Studio, and they collectively 
created...",Intelligent Cloud
"We've also introduced our own first-party agents to facilitate meetings, manage 
projects, resolve common HR and IT queries, and access SharePoint data.",Office Commercial,neutral,main,True,80,"We've also introduced our own first-party agents to facilitate meetings, manage 
projects, resolve c...",Productivity and Business Processes
"And we also 
continue to see partners like Adobe, SAP, ServiceNow, and Workday build their third-party 
agents and integrate with Copilot.",Office Commercial,neutral,main,True,81,"And we also 
continue to see partners like Adobe, SAP, ServiceNow, and Workday build their third-par...",Productivity and Business Processes
"What is driving Copilot as the UI for AI as well as our 
momentum with agents is our rich data cloud, which is the world's largest source of 
organizational knowledge.",Office Commercial,positive,main,True,82,"What is driving Copilot as the UI for AI as well as our 
momentum with agents is our rich data cloud...",Productivity and Business Processes
"Billions of emails, documents, and chats, hundreds of millions of Teams meetings, and millions 
of SharePoint sites are added each day.",Office Commercial,neutral,main,True,83,"Billions of emails, documents, and chats, hundreds of millions of Teams meetings, and millions 
of S...",Productivity and Business Processes
This is the enterprise knowledge cloud.,Office Commercial,neutral,main,True,84,This is the enterprise knowledge cloud.,Productivity and Business Processes
"It is growing 
fast, up over 25% year over year.",Office Commercial,positive,main,True,85,"It is growing 
fast, up over 25% year over year.",Productivity and Business Processes
"More broadly, what we are seeing is Copilot plus agents 
disrupting business applications, and we are leaning into this.",Office Commercial,positive,main,True,86,"More broadly, what we are seeing is Copilot plus agents 
disrupting business applications, and we ar...",Productivity and Business Processes
"With Dynamics 365, we took share as organizations like Ecolab, Lenovo, RTX, TotalEnergies, 
and Vizient switched to our AI-powered apps from legacy providers.",Office Commercial,positive,main,True,87,"With Dynamics 365, we took share as organizations like Ecolab, Lenovo, RTX, TotalEnergies, 
and Vizi...",Productivity and Business Processes
"In healthcare, DAX Copilot 
surpassed 2 million monthly physician-patient encounters, up 54% quarter over quarter.",Office Commercial,positive,main,True,88,"In healthcare, DAX Copilot 
surpassed 2 million monthly physician-patient encounters, up 54% quarter...",Productivity and Business Processes
"It is 
being used by top providers like Mass General Brigham, Michigan Medicine, Vanderbilt 
University Medical Center to increase productivity of their physicians.",Office Commercial,positive,main,True,89,"It is 
being used by top providers like Mass General Brigham, Michigan Medicine, Vanderbilt 
Univers...",Productivity and Business Processes
"When it comes to 
Windows, we are seeing momentum build as we approach end of support for Windows 10.",Windows,positive,main,True,90,"When it comes to 
Windows, we are seeing momentum build as we approach end of support for Windows 10...",More Personal Computing
"Customers are choosing the latest Windows 11 devices for their enhanced security and 
advanced AI capabilities. 15% premium-priced laptops in the U.S. this holiday were Copilot+ 
PCs, and we expect the majority of the PCs sold in the next several years to be Copilots+ PCs.",Windows,positive,main,True,91,"Customers are choosing the latest Windows 11 devices for their enhanced security and 
advanced AI ca...",More Personal Computing
"We also see more and more developers from Adobe and CapCut to WhatsApp build apps that 
leverage built-in NPUs.",Windows,neutral,main,True,92,"We also see more and more developers from Adobe and CapCut to WhatsApp build apps that 
leverage bui...",More Personal Computing
"And they will soon be able to run DeepSeek's R1 distal models locally on Copilot+ PCs as well 
as the vast ecosystem of GPUs available on Windows.",Windows,neutral,main,True,93,"And they will soon be able to run DeepSeek's R1 distal models locally on Copilot+ PCs as well 
as th...",More Personal Computing
"And beyond Copilot+ PCs, the most 
powerful AI workstation for local development is a Windows PC running WSL2 powered by 
NVIDIA RTX GPUs.",Windows,positive,main,True,94,"And beyond Copilot+ PCs, the most 
powerful AI workstation for local development is a Windows PC run...",More Personal Computing
"Now, on to security.",Windows,neutral,main,True,95,"Now, on to security.",More Personal Computing
"We continue to make progress with our Secure Future 
initiative, and we are applying what we have learned, introducing over 80 new product 
capabilities over the past year.",Windows,positive,main,True,96,"We continue to make progress with our Secure Future 
initiative, and we are applying what we have le...",More Personal Computing
"With Security Copilot organizations across private and public sector like City of Johannesburg, 
Eastman, Intesa, National Australia Bank, NTT can resolve incidents 30% faster.",Windows,positive,main,True,97,"With Security Copilot organizations across private and public sector like City of Johannesburg, 
Eas...",More Personal Computing
"Data 
governance is increasingly critical, and customers now use Microsoft purview to audit over 2 
billion Copilot interactions for safe and compliant use.",Windows,neutral,main,True,98,"Data 
governance is increasingly critical, and customers now use Microsoft purview to audit over 2 
...",More Personal Computing
"Now, on to our consumer businesses, 
starting with LinkedIn.",Office Commercial,neutral,main,True,99,"Now, on to our consumer businesses, 
starting with LinkedIn.",Productivity and Business Processes
"More professionals than ever are engaging in high-value conversations 
on LinkedIn with comments up 37% year over year.",Office Commercial,positive,main,True,100,"More professionals than ever are engaging in high-value conversations 
on LinkedIn with comments up ...",Productivity and Business Processes
"Short-form video continues to grow on the platform, with video creation all up growing at twice 
the rate of other post formats.",Office Commercial,positive,main,True,101,"Short-form video continues to grow on the platform, with video creation all up growing at twice 
the...",Productivity and Business Processes
"We're also innovating with agents to help recruiters and small 
businesses find qualified candidates faster, and our hiring business again took share.",Office Commercial,positive,main,True,102,"We're also innovating with agents to help recruiters and small 
businesses find qualified candidates...",Productivity and Business Processes
"In 
subscriptions, LinkedIn premiums surpassed $2 billion in annual revenue for the first time this 
quarter.",Office Commercial,positive,main,True,103,"In 
subscriptions, LinkedIn premiums surpassed $2 billion in annual revenue for the first time this ...",Productivity and Business Processes
"Subscriber growth has increased nearly 50% over the past two years, and nearly 40% 
of subscribers have used our AI features to improve their profiles.",Office Commercial,positive,main,True,104,"Subscriber growth has increased nearly 50% over the past two years, and nearly 40% 
of subscribers h...",Productivity and Business Processes
And LinkedIn Marketing Solution remains the leader in B2B advertising.,Office Commercial,positive,main,True,105,And LinkedIn Marketing Solution remains the leader in B2B advertising.,Productivity and Business Processes
"Now, on to search, 
advertising, and news.",Gaming,neutral,main,True,106,"Now, on to search, 
advertising, and news.",More Personal Computing
We once again took share across Bing and Edge.,Other,positive,main,True,107,We once again took share across Bing and Edge.,Other
"Edge surpassed 30% 
market share in the U.S. 
on Windows and has taken share for 15 consecutive quarters.",Windows,positive,main,True,108,"Edge surpassed 30% 
market share in the U.S. 
on Windows and has taken share for 15 consecutive quar...",More Personal Computing
"The investments we have made 
in improving our ad rates are paying off and advertisers increasingly see our network as an 
essential platform to optimize ROI.",Windows,positive,main,True,109,"The investments we have made 
in improving our ad rates are paying off and advertisers increasingly ...",More Personal Computing
"And our Copilot consumer app is seeing increased 
engagement and retention with its improved speed, unique personality, first-of-its-kind features 
like Copilot Vision.",Windows,positive,main,True,110,"And our Copilot consumer app is seeing increased 
engagement and retention with its improved speed, ...",More Personal Computing
"Just today, we made Think Deeper, powered by o1, free for all Copilot users 
globally.",Windows,positive,main,True,111,"Just today, we made Think Deeper, powered by o1, free for all Copilot users 
globally.",More Personal Computing
"Now, on to gaming.",Gaming,neutral,main,True,112,"Now, on to gaming.",More Personal Computing
"We are focused on improving the profitability of the business in order to 
position it for long-term growth driven by higher-margin content and platform services, and we 
are delivering on this plan.",Gaming,positive,main,True,113,"We are focused on improving the profitability of the business in order to 
position it for long-term...",More Personal Computing
"Black Ops 6 was top-selling game on Xbox and PlayStation this 
quarter and saw more players in its launch quarter than any other paid release in the franchise 
history.",Gaming,positive,main,True,114,"Black Ops 6 was top-selling game on Xbox and PlayStation this 
quarter and saw more players in its l...",More Personal Computing
"And we saw rave reviews of Indiana Jones and the Great Circle, which has already 
been played by more than 4 million people.",Gaming,positive,main,True,115,"And we saw rave reviews of Indiana Jones and the Great Circle, which has already 
been played by mor...",More Personal Computing
"We also continue to see strong momentum for Xbox Cloud Gaming with a record 140 million 
hours streamed this quarter.",Gaming,positive,main,True,116,"We also continue to see strong momentum for Xbox Cloud Gaming with a record 140 million 
hours strea...",More Personal Computing
"All up, Game Pass set a new quarterly record for revenue and 
grew its PC subscriber base by over 30% as we focus on driving fully paid subscribers across 
endpoints.",Gaming,positive,main,True,117,"All up, Game Pass set a new quarterly record for revenue and 
grew its PC subscriber base by over 30...",More Personal Computing
"In closing, we continue to innovate across our tech stack to help our customers in 
this AI era, and I'm energized by the many opportunities ahead.",Gaming,positive,main,True,118,"In closing, we continue to innovate across our tech stack to help our customers in 
this AI era, and...",More Personal Computing
"With that, let me turn it over to 
Amy.",Gaming,neutral,main,True,119,"With that, let me turn it over to 
Amy.",More Personal Computing
Amy E.,Gaming,neutral,main,True,120,Amy E.,More Personal Computing
"Hood -- Executive Vice President, Chief Financial Officer 
Thank you, Satya, and good afternoon, everyone.",Office Commercial,neutral,main,True,121,"Hood -- Executive Vice President, Chief Financial Officer 
Thank you, Satya, and good afternoon, eve...",Productivity and Business Processes
"This quarter, revenue was $69.6 billion, up 
12%.",Office Commercial,positive,main,True,122,"This quarter, revenue was $69.6 billion, up 
12%.",Productivity and Business Processes
"Gross margin dollars increased 13% and 12% in constant currency, while operating 
income increased 17% and 16% in constant currency.",Office Commercial,positive,main,True,123,"Gross margin dollars increased 13% and 12% in constant currency, while operating 
income increased 1...",Productivity and Business Processes
"Earnings per share was $3.23, an 
increase of 10%.",Office Commercial,positive,main,True,124,"Earnings per share was $3.23, an 
increase of 10%.",Productivity and Business Processes
We delivered another quarter of double-digit top- and bottom-line growth.,Office Commercial,positive,main,True,125,We delivered another quarter of double-digit top- and bottom-line growth.,Productivity and Business Processes
"Results were driven 
by strong demand for our cloud and AI offerings, while we also improved our operating leverage 
with higher-than-expected operating income growth.",Office Commercial,positive,main,True,126,"Results were driven 
by strong demand for our cloud and AI offerings, while we also improved our ope...",Productivity and Business Processes
"As you heard from Satya, our AI business 
annual revenue run rate surpassed $13 billion and was above expectations.",Office Commercial,positive,main,True,127,"As you heard from Satya, our AI business 
annual revenue run rate surpassed $13 billion and was abov...",Productivity and Business Processes
"Commercial 
bookings increased 67% and 75% in constant currency and were significantly ahead of 
expectations driven by Azure commitments from OpenAI.",Server products and cloud services,positive,main,True,128,"Commercial 
bookings increased 67% and 75% in constant currency and were significantly ahead of 
exp...",Intelligent Cloud
"Execution was strong across our core annuity sales motions with growth in the number of $100 
million-plus contracts for both Azure and Microsoft 365.",Server products and cloud services,positive,main,True,129,"Execution was strong across our core annuity sales motions with growth in the number of $100 
millio...",Intelligent Cloud
"Commercial remaining performance 
obligation increased to $298 billion, up 34% and 36% in constant currency.",Server products and cloud services,positive,main,True,130,"Commercial remaining performance 
obligation increased to $298 billion, up 34% and 36% in constant c...",Intelligent Cloud
"Roughly 40% will be 
recognized in revenue in the next 12 months, up 21% year over year.",Server products and cloud services,positive,main,True,131,"Roughly 40% will be 
recognized in revenue in the next 12 months, up 21% year over year.",Intelligent Cloud
"The remaining portion 
recognized beyond the next 12 months increased 45%.",Server products and cloud services,positive,main,True,132,"The remaining portion 
recognized beyond the next 12 months increased 45%.",Intelligent Cloud
"And this quarter, our annuity mix was 97%.",Server products and cloud services,neutral,main,True,133,"And this quarter, our annuity mix was 97%.",Intelligent Cloud
"FX did not have a significant impact on our results 
and was roughly in line with expectations on total company revenue, more personal computing 
revenue, total company COGS, and operating expense.",Server products and cloud services,neutral,main,True,134,"FX did not have a significant impact on our results 
and was roughly in line with expectations on to...",Intelligent Cloud
"FX decreased revenue more than 
expected in our commercial segments.",Server products and cloud services,negative,main,True,135,"FX decreased revenue more than 
expected in our commercial segments.",Intelligent Cloud
