Sentence,BusinessUnit
"We've also introduced our own first-party agents to facilitate meetings, manage 
projects, resolve common HR and IT queries, and access SharePoint data.",Office Commercial
"And we also 
continue to see partners like Adobe, SAP, ServiceNow, and Workday build their third-party 
agents and integrate with Copilot.",Office Commercial
"What is driving Copilot as the UI for AI as well as our 
momentum with agents is our rich data cloud, which is the world's largest source of 
organizational knowledge.",Office Commercial
"Billions of emails, documents, and chats, hundreds of millions of Teams meetings, and millions 
of SharePoint sites are added each day.",Office Commercial
This is the enterprise knowledge cloud.,Office Commercial
"It is growing 
fast, up over 25% year over year.",Office Commercial
"More broadly, what we are seeing is Copilot plus agents 
disrupting business applications, and we are leaning into this.",Office Commercial
"With Dynamics 365, we took share as organizations like Ecolab, Lenovo, RTX, TotalEnergies, 
and Vizient switched to our AI-powered apps from legacy providers.",Office Commercial
"In healthcare, DAX Copilot 
surpassed 2 million monthly physician-patient encounters, up 54% quarter over quarter.",Office Commercial
"It is 
being used by top providers like Mass General Brigham, Michigan Medicine, Vanderbilt 
University Medical Center to increase productivity of their physicians.",Office Commercial
"When it comes to 
Windows, we are seeing momentum build as we approach end of support for Windows 10.",Windows
"Customers are choosing the latest Windows 11 devices for their enhanced security and 
advanced AI capabilities. 15% premium-priced laptops in the U.S. this holiday were Copilot+ 
PCs, and we expect the majority of the PCs sold in the next several years to be Copilots+ PCs.",Windows
"We also see more and more developers from Adobe and CapCut to WhatsApp build apps that 
leverage built-in NPUs.",Windows
"And they will soon be able to run DeepSeek's R1 distal models locally on Copilot+ PCs as well 
as the vast ecosystem of GPUs available on Windows.",Windows
"And beyond Copilot+ PCs, the most 
powerful AI workstation for local development is a Windows PC running WSL2 powered by 
NVIDIA RTX GPUs.",Windows
"Now, on to security.",Windows
"We continue to make progress with our Secure Future 
initiative, and we are applying what we have learned, introducing over 80 new product 
capabilities over the past year.",Windows
"With Security Copilot organizations across private and public sector like City of Johannesburg, 
Eastman, Intesa, National Australia Bank, NTT can resolve incidents 30% faster.",Windows
"Data 
governance is increasingly critical, and customers now use Microsoft purview to audit over 2 
billion Copilot interactions for safe and compliant use.",Windows
"Now, on to our consumer businesses, 
starting with LinkedIn.",Office Commercial
"More professionals than ever are engaging in high-value conversations 
on LinkedIn with comments up 37% year over year.",Office Commercial
"Short-form video continues to grow on the platform, with video creation all up growing at twice 
the rate of other post formats.",Office Commercial
"We're also innovating with agents to help recruiters and small 
businesses find qualified candidates faster, and our hiring business again took share.",Office Commercial
"In 
subscriptions, LinkedIn premiums surpassed $2 billion in annual revenue for the first time this 
quarter.",Office Commercial
"Subscriber growth has increased nearly 50% over the past two years, and nearly 40% 
of subscribers have used our AI features to improve their profiles.",Office Commercial
And LinkedIn Marketing Solution remains the leader in B2B advertising.,Office Commercial
"Now, on to search, 
advertising, and news.",Gaming
We once again took share across Bing and Edge.,Other
"Edge surpassed 30% 
market share in the U.S. 
on Windows and has taken share for 15 consecutive quarters.",Windows
"The investments we have made 
in improving our ad rates are paying off and advertisers increasingly see our network as an 
essential platform to optimize ROI.",Windows
"And our Copilot consumer app is seeing increased 
engagement and retention with its improved speed, unique personality, first-of-its-kind features 
like Copilot Vision.",Windows
"Just today, we made Think Deeper, powered by o1, free for all Copilot users 
globally.",Windows
"Now, on to gaming.",Gaming
"We are focused on improving the profitability of the business in order to 
position it for long-term growth driven by higher-margin content and platform services, and we 
are delivering on this plan.",Gaming
"Black Ops 6 was top-selling game on Xbox and PlayStation this 
quarter and saw more players in its launch quarter than any other paid release in the franchise 
history.",Gaming
"And we saw rave reviews of Indiana Jones and the Great Circle, which has already 
been played by more than 4 million people.",Gaming
"We also continue to see strong momentum for Xbox Cloud Gaming with a record 140 million 
hours streamed this quarter.",Gaming
"All up, Game Pass set a new quarterly record for revenue and 
grew its PC subscriber base by over 30% as we focus on driving fully paid subscribers across 
endpoints.",Gaming
"In closing, we continue to innovate across our tech stack to help our customers in 
this AI era, and I'm energized by the many opportunities ahead.",Gaming
"With that, let me turn it over to 
Amy.",Gaming
Amy E.,Gaming
"Hood -- Executive Vice President, Chief Financial Officer 
Thank you, Satya, and good afternoon, everyone.",Office Commercial
"This quarter, revenue was $69.6 billion, up 
12%.",Office Commercial
"Gross margin dollars increased 13% and 12% in constant currency, while operating 
income increased 17% and 16% in constant currency.",Office Commercial
"Earnings per share was $3.23, an 
increase of 10%.",Office Commercial
We delivered another quarter of double-digit top- and bottom-line growth.,Office Commercial
"Results were driven 
by strong demand for our cloud and AI offerings, while we also improved our operating leverage 
with higher-than-expected operating income growth.",Office Commercial
"As you heard from Satya, our AI business 
annual revenue run rate surpassed $13 billion and was above expectations.",Office Commercial
"Commercial 
bookings increased 67% and 75% in constant currency and were significantly ahead of 
expectations driven by Azure commitments from OpenAI.",Server products and cloud services
"Execution was strong across our core annuity sales motions with growth in the number of $100 
million-plus contracts for both Azure and Microsoft 365.",Server products and cloud services
"Commercial remaining performance 
obligation increased to $298 billion, up 34% and 36% in constant currency.",Server products and cloud services
"Roughly 40% will be 
recognized in revenue in the next 12 months, up 21% year over year.",Server products and cloud services
"The remaining portion 
recognized beyond the next 12 months increased 45%.",Server products and cloud services
"And this quarter, our annuity mix was 97%.",Server products and cloud services
"FX did not have a significant impact on our results 
and was roughly in line with expectations on total company revenue, more personal computing 
revenue, total company COGS, and operating expense.",Server products and cloud services
"FX decreased revenue more than 
expected in our commercial segments.",Server products and cloud services
"Microsoft Cloud revenue was $40.9 billion and grew 
21%.",Server products and cloud services
"Microsoft Cloud gross margin percentage was 70%, in line with expectations, and decreased 
two points year over year, driven by scaling our AI infrastructure.",Server products and cloud services
"Company gross margin 
percentage increased slightly year over year to 69%, primarily driven by sales mix shift to 
higher-margin businesses as well as improvement in gaming and search, partially offset by the 
impact of scaling our AI infrastructure.",Gaming
"Operating expenses increased 5%, lower than expected, 
and operating margins increased two points year over year to 45%.",Gaming
"The better-than-expected 
margin expansion was driven by delivering efficiencies across our businesses as we invest to 
scale AI infrastructure and build AI applications.",Gaming
"At a total company level, head count at the end of December was 2% higher than a year ago 
and was relatively unchanged from last quarter.",Gaming
"Now, to our segment results.",Gaming
"Revenue from 
Productivity and Business Processes was $29.4 billion and grew 14% and 13% in constant 
currency, even with the unfavorable FX impact noted earlier.",Gaming
"Results were ahead of 
expectations driven by Microsoft 365 Commercial.",Gaming
"Microsoft 365 Commercial Cloud revenue increased 16% and 15% in constant currency, slightly 
ahead of expectations due to better-than-expected performance in E5 and Microsoft 365 
Copilot.",Gaming
"With M365 Copilot, we continue to see growth in adoption, expansion, and usage.",Gaming
ARPU growth was again driven by E5 and M365 Copilot.,Gaming
"Paid M365 commercial seats grew 7% 
year over year, with installed base expansion across all customer segments, though primarily in 
our small and medium business and frontline worker offerings.",Gaming
"M365 commercial products revenue increased 13%, significantly ahead of expectations, driven 
by higher-than-expected transactional purchasing with the launch of Office 2024 as well as the 
Windows commercial on-premises components from the better-than-expected performance of 
M365 suites noted earlier.",Office Commercial
"M365 consumer cloud revenue increased 8%, slightly ahead of 
expectations.",Office Commercial
"We saw continued momentum in M365 consumer subscriptions, which grew 10% 
to $86.3 million, with mix shift to M365 basic.",Office Commercial
"LinkedIn revenue increased 9% with continued 
growth across all lines of business.",Office Commercial
"In our Talent Solutions business, results were slightly below expectations, driven by continued 
weakness in the hiring market in key verticals.",Office Commercial
"Dynamics 365 revenue increased 19% and 18% 
in constant currency, slightly ahead of expectations with growth across all workloads.",Office Commercial
"Segment 
gross margin dollars increased 13% and 12% in constant currency, and gross margin 
percentage decreased slightly year over year, driven by scaling our AI infrastructure.",Office Commercial
"Operating 
expenses increased 6% and operating income increased 16% and 15% in constant currency.",Office Commercial
"Next, the Intelligent Cloud segment.",Office Commercial
"Revenue was $25.5 billion and grew 19% with more 
unfavorable FX impact than expected.",Office Commercial
"Excluding the unfavorable FX impact, results in Azure 
non-AI services, on-prem server, and enterprise and partner services were slightly lower than 
expected, partially offset by better-than-expected results in Azure AI services.",Server products and cloud services
"Azure other cloud 
services revenue grew 31%.",Server products and cloud services
"Azure growth included 13 points from AI services, which grew 157% year over year, and was 
ahead of expectations even as demand continued to be higher than our available capacity.",Server products and cloud services
"Growth in our non-AI services was slightly lower than expected due to go-to-market execution 
challenges, particularly with our customers that we primarily reach through our scale motions as 
we balance driving near-term non-AI consumption with AI growth.",Gaming
"In our on-premises server 
business, revenue decreased 3%, slightly below expectations, driven by slower-than-expected 
purchasing around Windows Server 2025 launch.",Server products and cloud services
"Enterprise and Partner Services revenue 
decreased 1%, below expectations, with lower-than-expected performance across Enterprise 
Support Services and Industry Solutions.",Other
"Segment gross margin dollars increased 12% and 13% in constant currency, and gross margin 
percentage decreased four points year over year, driven by scaling our AI infrastructure.",Other
Operating expenses increased 10% and operating income grew 14%.,Other
"Now, to More Personal 
Computing.",Other
"Revenue was $14.7 billion, relatively unchanged year over year, with 
better-than-expected results driven primarily by Windows OEM prebuilds, usage from a 
third-party partnership in search as well as Call of Duty launch performance in gaming.",Windows
"Windows OEM and devices revenue increased 4% year over year, ahead of expectations, 
driven by commercial inventory builds in advance of Windows 10 end support as well as 
uncertainty around tariffs.",Windows
"Search and news advertising revenue ex-TAC increased 21% and 
20% in constant currency, ahead of expectations, driven by usage from a third-party partnership.",Gaming
"Growth continues to be driven by rate expansion and healthy volume growth in both Edge and 
Bing.",Other
"And in gaming, revenue decreased 7% and 8% in constant currency as content and 
services growth continued to be offset by hardware declines.",Gaming
"Xbox content and services revenue increased 2%, ahead of expectations, driven by 
stronger-than-expected performance in Blizzard and Activision content, including Call of Duty.",Gaming
Segment gross margin dollars increased 13% and 12% in constant currency.,Gaming
"Gross margin 
percentage increased six points year over year, driven by sales mix shift to higher-margin 
businesses as well as strong execution on margin improvement in gaming and search.",Gaming
Operating expenses decreased 1%.,Gaming
"Operating income increased 32% and 30% in constant currency, driven by continued 
prioritization of higher-margin opportunities.",Gaming
"Now, back to total company results.",Gaming
"Capital 
expenditures, including finance leases, were $22.6 billion, in line with expectations, and cash 
paid for PP&E was $15.8 billion.",Gaming
"More than half of our cloud and AI-related spend was on 
long-lived assets that will support monetization over the next 15 years and beyond.",Gaming
"The remaining cloud and AI spend was primarily for servers, both CPUs and GPUs, to serve 
customers based on demand signals, including our customer-contracted backlog.",Gaming
"Cash flow 
from operations was $22.3 billion, up 18%, driven by strong cloud billings and collections, 
partially offset by higher supplier, employee, and tax payments.",Gaming
"Free cash flow was $6.5 billion, 
down 29% year over year, reflecting the capital expenditures noted earlier.",Gaming
"This quarter, other 
income and expense was negative $2.3 billion, lower than our October guidance due to the 
impairment charge from our Cruise investment.",Gaming
Our effective tax rate came in slightly lower than anticipated at 18%.,Gaming
"And finally, we returned 
$9.7 billion to shareholders through dividends and share repurchases.",Gaming
"Now, moving to our Q3 
outlook, which unless specifically noted otherwise, is on a U.S. dollar basis.",Gaming
"First, FX.",Gaming
"With the strengthening of the U.S. dollar since October, we now expect FX to 
decrease total revenue growth by two points.",Gaming
"Within the segments, we expect FX to decrease 
revenue growth by two points in Productivity and Business Processes and Intelligent Cloud and 
roughly one point in More Personal Computing.",Gaming
"When compared to our October guidance assumptions on Q3 FX impact, this is a decrease to 
total revenue of roughly $1 billion.",Gaming
"We expect FX to decrease COGS growth by approximately 
two points and operating expense growth by approximately one point.",Gaming
"Our outlook has many of 
the trends we saw in Q2 continue through Q3.",Gaming
"Demand for our differentiated cloud and AI 
offerings across the Microsoft Cloud should drive another quarter of strong growth.",Gaming
"In commercial bookings, with a relatively flat expiry base and a strong prior year comparable in 
terms of large Azure contracts, we expect growth to be roughly flat year over year.",Server products and cloud services
"We expect 
consistent execution across our core annuity sales motions and continued long-term 
commitments to our platform.",Server products and cloud services
"As a reminder, larger long-term Azure contracts, which are more 
unpredictable in their timing, can drive increased quarterly volatility in our bookings growth rate.",Server products and cloud services
"Microsoft Cloud gross margin percentage should be roughly 69%, down year over year, driven 
by the impact of scaling our AI infrastructure.",Server products and cloud services
"Next, to segment guidance.",Server products and cloud services
"In Productivity and Business Processes, we expect revenue to grow 
between 11% and 12% in constant currency, or USD 29.4 billion to USD 29.7 billion.",Server products and cloud services
"Microsoft 
365 commercial cloud revenue growth should be between 14% and 15% in constant currency, 
relatively stable compared to our better-than-expected Q2 results.",Server products and cloud services
"We expect continued ARPU 
growth through E5 and M365 Copilot, and we again expect some seat growth moderation given 
the size of the installed base.",Server products and cloud services
"For M365 commercial products, we expect revenue to be relatively unchanged year over year.",Server products and cloud services
"As a reminder, M365 commercial products include Windows commercial on-premises 
components of M365 suites.",Windows
"So, our quarterly revenue growth can have variability primarily from 
in-period revenue recognition depending on the mix of contracts.",Windows
"M365 consumer cloud revenue 
growth should be in the mid- to high single digits, driven by M365 subscriptions.",Windows
"For LinkedIn, we expect revenue growth in the low to mid-single digits.",Office Commercial
"Although we expect 
growth across all businesses, the Q2 trends in Talent Solutions should continue in Q3 as a 
headwind to growth.",Office Commercial
"And in Dynamics 365, we expect revenue growth to be in the mid-teens 
driven by continued growth across all workloads.",Office Commercial
"For Intelligent Cloud, we expect revenue to 
grow between 19% and 20% in constant currency, or USD 25.9 billion to USD 26.2 billion.",Office Commercial
"Revenue will continue to be driven by Azure, which, as a reminder, can have quarterly variability 
primarily from in-period revenue recognition depending on the mix of contracts.",Server products and cloud services
"In Azure, we 
expect Q3 revenue growth to be between 31% and 32% in constant currency driven by strong 
demand for our portfolio of services.",Server products and cloud services
"As we shared in October, the contribution from our AI 
services will grow from increased AI capacity coming online.",Gaming
"In non-AI services, healthy growth 
continues, although we expect ongoing impact through H2 as we work to address the execution 
challenges noted earlier.",Gaming
"And while we expect to be AI capacity-constrained in Q3, by the end of FY '25, we should be 
roughly in line with near-term demand given our significant capital investments.",Gaming
"In our 
on-premises server business, we expect revenue to decline in the mid-single digits, driven by a 
decrease in transactional purchasing.",Gaming
"And in Enterprise and Partner Services, we expect 
revenue growth to be in the low to mid-single digits.",Gaming
"In More Personal Computing, we expect 
revenue to be USD 12.4 billion to USD 12.8 billion with continued prioritization of higher-margin 
opportunities.",Gaming
Windows OEM and devices revenue should decline in the low to mid-single digits.,Windows
"We expect 
revenue from Windows OEM to be relatively flat year over year as our outlook assumes 
inventory levels will normalize.",Windows
Actual results may differ based on current tariff uncertainties.,Windows
Devices revenue will decline.,Other
"Search and news advertising ex-TAC revenue growth should be in the mid-teens from continued 
growth in both volume and revenue per search with share gains across Edge and Bing.",Gaming
"Growth 
is expected to moderate from last quarter, primarily due to additional FX impact and as the 
third-party partnership usage noted earlier returns to more normal levels.",Gaming
"Search ex-TAC growth 
will be higher than overall search and news advertising revenue growth, which we expect to be 
in the mid- to high single digits.",Gaming
"And in gaming, we expect revenue growth to be in the low single 
digits.",Gaming
"We expect Xbox content and services revenue growth to be in the low to mid-single digits driven 
by first-party content as well as Xbox Game Pass.",Gaming
Hardware revenue will decline year over year.,Gaming
"Now, back to company guidance.",Gaming
"We expect COGS to grow between 19% and 20% in constant 
currency or to be between USD 21.65 billion to USD 21.85 billion and operating expense to 
grow between 5% and 6% in constant currency or to be between USD 16.4 billion and USD 
16.5 billion.",Gaming
"Other income and expense is expected to be roughly negative $1 billion, primarily driven by 
investments accounted for under the equity method.",Gaming
"As a reminder, we do not recognize 
mark-to-market gains or losses on equity method investments.",Gaming
"And lastly, we expect our Q3 
effective tax rate to be approximately 18%.",Gaming
"Now, some additional thoughts on the rest of the 
fiscal year and beyond.",Gaming
"First, FX.",Gaming
"With the strengthening of the U.S. dollar since October, we now expect FX to 
decrease Q4 revenue and COGS growth by more than one point and operating expense growth 
by roughly one point.",Gaming
"Next, capital expenditures.",Gaming
We expect quarterly spend in Q3 and Q4 to remain at similar levels as our Q2 spend.,Gaming
"In FY '26, 
we expect to continue investing against strong demand signals, including customer contracted 
backlog we need to deliver against across the entirety of our Microsoft Cloud.",Gaming
"However, the 
growth rate will be lower than FY '25 and the mix of spend will begin to shift back to short-lived 
assets, which are more correlated to revenue growth.",Gaming
"As a reminder, our long-lived 
infrastructure investments are fungible, enabling us to remain agile as we meet customer 
demand globally across our Microsoft Cloud, including AI workloads.",Gaming
"As always, there can be quarterly spend variability from cloud infrastructure build-outs and the 
timing of delivery of finance leases.",Gaming
"For the full fiscal year, we continue to expect double-digit 
revenue and operating income growth as we focus on delivering efficiencies across both COGS 
and operating expense.",Gaming
"And given the operating leverage that we've delivered throughout the 
year, inclusive of efficiency gains as we scale our AI infrastructure and utilize our own AI 
solutions, we now expect FY '25 operating margins to be up slightly year over year.",Gaming
"And finally, 
our FY '25 full-year effective tax rate should be between 18% and 19%.",Gaming
"In closing, we are committed to delivering real-world AI solutions to help customers grow and 
improve their results.",Gaming
"We are confident in our leadership position as we grow with our 
customers.",Gaming
"Before turning to Q&A, I have one special thank you.",Gaming
"Brett Iversen is moving to a 
new role here as the Head of our Americas sales finance team.",Gaming
"On behalf of the company, thank you for your tremendous impact leading Investor Relations for 
the past four years and for the partnership with both Satya and me.",Gaming
"And I'd like to welcome 
Jonathan Neilson, the former head of finance for our security products, who is returning to 
Investor Relations to lead the team.",Gaming
"With that, let's go to Q&A, Brett.",Gaming
"Brett Iversen -- Vice President, Investor Relations 
Thanks, Amy.",Gaming
We'll now move over to Q&A.,Gaming
"Out of respect for others on the call, we request that 
participants please only ask one question.",Gaming
"Operator, can you please repeat your instructions?",Gaming
"Questions & Answers: 
 
Operator 
Thank you. [Operator instructions] And our first question comes from the line of Keith Weiss with 
Morgan Stanley.",Gaming
Please proceed.,Gaming
"Keith Weiss -- Analyst 
Excellent.",Gaming
"Thank you, guys, for taking the question.",Gaming
"And echoing Amy's comments, Brett, 
congratulations on the new role.",Gaming
"It's been a pleasure working with you, and best of luck in that 
new role.",Gaming
"Looking at the quarter, another really solid quarter when it comes to commercial bookings.",Gaming
"But 
again, we were a little bit disappointed on Azure coming in at the bottom end of the guidance 
range.",Server products and cloud services
"Amy, I was hoping you could dig into perhaps what some of those execution issues were, 
what the resolution to those issues were.",Server products and cloud services
"And do we still feel comfortable in the acceleration into 
the back half of the year that you were talking about after the June quarter and after last 
quarter?",Server products and cloud services
Thank you very much.,Server products and cloud services
Amy E.,Server products and cloud services
"Hood -- Executive Vice President, Chief Financial Officer 
Thanks, Keith.",Office Commercial
"Let me spend a little time on that about what we saw in Q2 and give you some 
additional background on the near-term execution issues that we're talking about.",Office Commercial
"First, let me 
be very specific, they are in the non-AI ACR component.",Office Commercial
"Our Azure AI results were better than 
we thought due to very good work by the operating teams pulling in some delivery dates even 
by weeks.",Server products and cloud services
"When you're capacity-constrained, weeks matter, and it was good execution by the team, and 
you see that in the revenue results.",Server products and cloud services
"On the non-AI side, really, the challenges were in what we 
call the scale motions.",Server products and cloud services
"So, think about primarily, these are customers we reach through partners 
and through more indirect methods of selling.",Server products and cloud services
"And really, the art form there is as these 
customers, which we reach in this way, are trying to balance how do you do an AI workload with 
continuing some of the work they've done on migrations and other fundamentals, we then took 
our sales motions in the summer and really changed to try to balance those two.",Server products and cloud services
"As you do that, you learn with your customers and with your partners on sort of getting that 
balance right between where to put our investments, where to put the marketing dollars, and 
importantly, where to put people in terms of coverage and being able to help customers make 
those transitions.",Server products and cloud services
"And I think we are going to make some adjustments to make sure we are in 
balance because when you make those changes in the summer, by the time it works its way 
through the system, you can see the impacts on whether you have that balance right.",Server products and cloud services
"And so, 
the teams are working through that.",Server products and cloud services
They're already making adjustments.,Server products and cloud services
